[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:60898 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:56407 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:63517 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:56518 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:63477 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:56890 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:64957 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:55925 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:62606 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:64435 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:64495 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:63736 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:63665 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:60196 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:50283 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:61161 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:50918 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:59320 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:62303 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:52742 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:59737 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:63587 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:56648 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:58353 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:64488 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:52243 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:62764 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:63756 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:53402 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:60048 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:58515 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:63043 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:51757 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:59269 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:65134 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:62815 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:58072 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:59173 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:49421 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:51015 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:56596 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:52582 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:58282 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:54180 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:56044 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:61344 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:56843 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:62082 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:50662 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:63920 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:58139 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:60606 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:64914 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:63020 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:51147 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:54934 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:54499 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:54503 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:57996 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:51213 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:63111 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:49527 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:53629 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:64094 | 
